story_number,episode_title,type,first_aired,uk_viewers,rating_AI,duration,season,ep_num,rating_imdb,rating_n,desc,writer,director,doctor_who_actor,,Showrunner
157,Rose,episode,3/26/2005,10.81,76,45,1,1,7.5,8301,When ordinary shop-worker Rose Tyler meets a mysterious stranger called the Doctor she is drawn into his strange and dangerous world; her life will never be the same again.,Russell T Davies,Keith Boak,Christopher Eccleston,,Russell T Davies
158,The End of the World,episode,4/2/2005,7.97,76,44,1,2,7.5,7279,The Doctor takes Rose to the year 5 billion to witness the destruction of the Earth.,Russell T Davies,Euros Lyn,Christopher Eccleston,,Russell T Davies
159,The Unquiet Dead,episode,4/9/2005,8.86,80,44,1,3,7.5,6804,The Doctor has great expectations for his latest adventure when he and Rose join forces with Charles Dickens to investigate a mysterious plague of zombies.,Mark Gatiss,Euros Lyn,Christopher Eccleston,,Russell T Davies
160a,Aliens of London,episode,4/16/2005,7.63,82,45,1,4,7,6543,"The Doctor returns Rose to her own time - well, sort of - but her family reunion is ruined when a spaceship crashes in the middle of London. What is the origin of the spaceship, and where has the Prime Minister gone in this time of crisis?",Russell T Davies,Keith Boak,Christopher Eccleston,,Russell T Davies
160b,World War Three,episode,4/23/2005,7.98,81,42,1,5,7,6337,The Slitheen have infiltrated Parliament and have the Doctor and his friends trapped as the Doctor works to prevent them from starting World War Three.,Russell T Davies,Keith Boak,Christopher Eccleston,,Russell T Davies
161,Dalek,episode,4/30/2005,8.63,84,45,1,6,8.7,7211,"The TARDIS is drawn to an alien museum deep below the Utah desert, where a ruthless billionaire keeps prisoner the last of the Doctor's most fearsome enemies.",Robert Shearman,Joe Ahearne,Christopher Eccleston,,Russell T Davies
162,The Long Game,episode,5/7/2005,8.01,81,44,1,7,7.1,6255,"In the year 200,000 the Doctor discovers that a satellite with a dark secret is controlling humanity and slowing its development.",Russell T Davies,Brian Grant,Christopher Eccleston,,Russell T Davies
163,Father's Day,episode,5/14/2005,8.06,83,45,1,8,8.4,6889,"Rose asks The Doctor to take her to 1987, on the day her father was killed.",Paul Cornell,Joe Ahearne,Christopher Eccleston,,Russell T Davies
164a,The Empty Child,episode,5/21/2005,7.11,84,45,1,9,9.2,8383,"When a spaceship crashes in the middle of the London Blitz the Doctor, Rose and the enigmatic Captain Jack Harkness find themselves investigating a plague of physical injuries and a little boy in a gas mask.",Steven Moffat,James Hawes,Christopher Eccleston,,Russell T Davies
164b,The Doctor Dances,episode,5/28/2005,6.86,85,45,1,10,9.2,7702,The gas mask zombies are on the rise as the plague spreads across war-torn London.,Steven Moffat,James Hawes,Christopher Eccleston,,Russell T Davies
165,Boom Town,episode,6/4/2005,7.68,82,45,1,11,7.1,5981,"Stopping off in present-day Cardiff to recharge the TARDIS, The Doctor, Rose and Jack meet up with Mickey and encounter an old foe in the midst of hatching a scheme that could destroy the entire planet.",Russell T Davies,Joe Ahearne,Christopher Eccleston,,Russell T Davies
166a,Bad Wolf,episode,6/11/2005,6.81,86,45,1,12,8.7,6799,"The Doctor, Rose and Jack are separated and forced to compete in twisted and deadly games on the Game Station.",Russell T Davies,Joe Ahearne,Christopher Eccleston,,Russell T Davies
166b,The Parting of the Ways,episode,6/18/2005,6.91,89,45,1,13,9.1,7312,"As the Dalek fleet begin their attack on the Earth, the Doctor and his allies make one final stand.",Russell T Davies,Joe Ahearne,Christopher Eccleston,,Russell T Davies
167,The Christmas Invasion,special,12/25/2005,9.84,84,60,2,0,8.1,6716,"It's Christmas Eve, but this is to be a far from silent night - the cruel Sycorax have come to Earth to enslave mankind and, as ever, only The Doctor can stop them. Unfortunately, he's lying in a coma in Jackie's home...",Russell T Davies,James Hawes,David Tennant,,Russell T Davies
168,New Earth,episode,4/15/2006,8.62,85,45,2,1,7.4,6275,The Doctor and Rose arrive on New Earth and meet old friends and enemies in a hospital which can cure every disease. But the cures come at a terrible cost.,Russell T Davies,James Hawes,David Tennant,,Russell T Davies
169,Tooth and Claw,episode,4/22/2006,9.24,83,45,2,2,7.7,6398,"The Doctor and Rose are transported to 19th Century Scotland, where they meet Queen Victoria, and try to protect her from a ravenous werewolf and a band of assassinating warrior-monks",Russell T Davies,Euros Lyn,David Tennant,,Russell T Davies
170,School Reunion,episode,4/29/2006,8.31,85,45,2,3,8.3,6803,"The Krillitanes - aliens with a mix-and-match physiology - are trying to crack the 'God-Maker', a paradigm to give them ultimate power. They are using children as a computer, and only the Doctor and Rose, re-united with Sarah Jane Smith and K9 can prevent them from becoming masters of time and space.",Toby Whithouse,James Hawes,David Tennant,,Russell T Davies
171,The Girl in the Fireplace,episode,5/6/2006,7.9,84,45,2,4,9.3,10469,"The Doctor, Mickey and Rose land on a spaceship in the 51st century only to find 18th century Versailles on board, the time of Madame De Pompadour! To find out what's going on the Doctor must enter Versailles and save Madame De Popmpadour but it turns into an emotional roller coaster for the Doctor.",Steven Moffat,Euros Lyn,David Tennant,,Russell T Davies
172a,Rise of the Cybermen,episode,5/13/2006,9.22,86,45,2,5,7.8,5989,"The TARDIS crash lands in London on a parallel world, where Rose's dad is still alive, people are disappearing off the streets and one of the Doctor's deadliest enemies is about to be reborn.",Tom MacRae,Graeme Harper,David Tennant,,Russell T Davies
172b,The Age of Steel,episode,5/20/2006,7.63,86,45,2,6,7.9,5924,The Cybermen take control of London as the population is enslaved and the Doctor and his friends become fugitives.,Tom MacRae,Graeme Harper,David Tennant,,Russell T Davies
173,The Idiot's Lantern,episode,5/27/2006,6.76,84,45,2,7,6.7,6114,"As the coronation of Elizabeth II nears, the streets of London live in fear. Faceless people are stolen from their homes in the night and something evil is lurking in the television.",Mark Gatiss,Euros Lyn,David Tennant,,Russell T Davies
174a,The Impossible Planet,episode,6/3/2006,6.32,85,45,2,8,8.7,6869,"When the Doctor and Rose become stranded on a planet orbiting a black hole, they find a human expedition crew and their servants, the Ood, being terrorised by the Devil.",Matt Jones,James Strong,David Tennant,,Russell T Davies
174b,The Satan Pit,episode,6/10/2006,6.08,86,45,2,9,8.8,7075,"The Doctor risks his life to investigate the pit and is forced to make a terrible decision, while Rose and the crew fend for their lives against the Legion of the Beast.",Matt Jones,James Strong,David Tennant,,Russell T Davies
175,Love & Monsters,episode,6/17/2006,6.66,76,45,2,10,6.1,7169,"Elton Pope is an ordinary man intrigued by the world of the Doctor. When he and fellow enthusiasts - L.I.N.D.A. - meet the mysterious Victor Kennedy, their lives will never be the same again.",Russell T Davies,Dan Zeff,David Tennant,,Russell T Davies
176,Fear Her,episode,6/24/2006,7.14,83,45,2,11,5.9,6367,"When children vanish into thin air in 2012 London, the Doctor and Rose find the answers in a seemingly ordinary household and a girl whose drawings can come to life.",Matthew Graham,Euros Lyn,David Tennant,,Russell T Davies
177a,Army of Ghosts,episode,7/1/2006,8.19,86,45,2,12,8.5,6229,"When ghosts of loved ones appear all over the world the Doctor traces the phenomena to the Torchwood Tower, where some old friends and enemies are waiting.",Russell T Davies,Graeme Harper,David Tennant,,Russell T Davies
177b,Doomsday,episode,7/8/2006,8.22,89,45,2,13,9.3,8494,"Earth becomes a battleground for the Daleks and the Cybermen. With the whole planet at stake and the Genesis Ark activated, how much will the Doctor sacrifice in order to end the war?",Russell T Davies,Graeme Harper,David Tennant,,Russell T Davies
178,The Runaway Bride,special,12/25/2006,9.35,84,60,3,0,7.6,6351,"The Doctor is baffled when a young woman is transported to the TARDIS on her wedding day, and attempts to find out how she is connected to an alien plot to destroy Earth.",Russell T Davies,Euros Lyn,David Tennant,,Russell T Davies
179,Smith and Jones,episode,3/31/2007,8.71,88,45,3,1,8,6211,"When the hospital she works at is transported to the moon, medical student Martha Jones joins forces with The Doctor to hunt down an alien fugitive before the oxygen runs out.",Russell T Davies,Charles Palmer,David Tennant,,Russell T Davies
180,The Shakespeare Code,episode,4/7/2007,7.23,87,45,3,2,7.6,6241,"The Doctor takes Martha to London in 1599, where William Shakespeare's new play is being used by three witches in an evil plan.",Gareth Roberts,Charles Palmer,David Tennant,,Russell T Davies
181,Gridlock,episode,4/14/2007,8.41,85,45,3,3,8,6400,"The Doctor takes Martha to New Earth, where she is kidnapped by two carjackers and taken to an underground Motorway, where the remainder of humanity on the planet live in perpetual gridlock.",Russell T Davies,Richard Clark,David Tennant,,Russell T Davies
182a,Daleks in Manhattan,episode,4/21/2007,6.69,86,45,3,4,7,5850,"The Doctor and Martha travel to New York in 1930, where people have been mysteriously vanishing from the streets, and an old enemy resurfaces.",Helen Raynor,James Strong,David Tennant,,Russell T Davies
